IP地址,端口,TLS,数据中心,下载速度(MB/s)
168.138.202.145,2095,FALSE,NRT,9.84
144.21.52.36,443,TRUE,AMS,9.82
140.238.54.164,2083,TRUE,NRT,9.81
144.21.51.1,443,TRUE,CDG,9.81
158.101.140.252,2095,FALSE,NRT,9.79
158.101.211.160,443,TRUE,FRA,9.78
152.70.52.253,443,TRUE,FRA,9.76
143.47.177.210,443,TRUE,FRA,9.76
84.235.172.28,443,TRUE,FRA,9.76
84.235.164.143,443,TRUE,FRA,9.75
141.147.169.195,8080,FALSE,NRT,9.75
141.147.183.96,8443,TRUE,NRT,9.72
84.235.175.139,443,TRUE,FRA,9.72
143.47.234.126,443,TRUE,FRA,9.72
141.144.200.129,443,TRUE,CDG,9.72
132.145.244.192,443,TRUE,FRA,9.71
138.3.212.226,2052,FALSE,NRT,9.70
141.147.43.32,443,TRUE,FRA,9.70
138.2.169.220,443,TRUE,FRA,9.68
144.24.78.162,443,TRUE,ICN,9.66
130.162.61.130,443,TRUE,FRA,9.66
152.70.50.242,443,TRUE,FRA,9.65
143.47.182.0,443,TRUE,FRA,9.65
141.145.199.188,443,TRUE,CDG,9.64
141.147.47.82,443,TRUE,FRA,9.64
141.144.193.177,443,TRUE,FRA,9.63
152.67.139.187,443,TRUE,FRA,9.57
150.230.117.32,443,TRUE,CDG,9.56
141.147.178.115,2083,TRUE,NRT,9.53
152.70.106.185,8080,FALSE,NRT,9.51
138.2.92.11,2086,FALSE,SIN,9.50
141.147.28.1,443,TRUE,FRA,9.49
132.226.214.34,443,TRUE,FRA,9.44
84.235.174.60,443,TRUE,FRA,9.44
152.70.111.251,2095,FALSE,NRT,9.44
144.24.176.217,443,TRUE,FRA,9.43
84.235.169.51,443,TRUE,AMS,9.43
144.21.40.142,443,TRUE,FRA,9.42
158.178.151.248,443,TRUE,FRA,9.40
144.21.58.106,443,TRUE,FRA,9.40
152.67.128.248,443,TRUE,FRA,9.40
144.24.187.191,443,TRUE,AMS,9.37
141.144.206.202,443,TRUE,FRA,9.36
158.101.206.70,8443,TRUE,AMS,9.36
141.147.166.189,2087,TRUE,NRT,9.35
158.178.146.195,443,TRUE,FRA,9.32
141.144.196.81,443,TRUE,FRA,9.32
193.123.38.178,443,TRUE,AMS,9.31
168.138.200.155,2087,TRUE,NRT,9.30
141.147.30.179,443,TRUE,FRA,9.30
141.144.233.144,443,TRUE,FRA,9.28
168.138.202.169,8880,FALSE,NRT,9.27
131.186.34.11,2052,FALSE,NRT,9.27
141.145.206.16,8443,TRUE,CDG,9.24
143.47.241.152,443,TRUE,FRA,9.23
144.24.85.158,80,FALSE,ICN,9.22
141.147.55.82,443,TRUE,SIN,9.21
152.67.141.193,443,TRUE,FRA,9.17
143.47.233.220,443,TRUE,FRA,9.17
168.138.198.202,2086,FALSE,NRT,9.16
143.47.229.215,443,TRUE,FRA,9.16
130.162.61.18,80,FALSE,FRA,9.12
143.47.244.132,443,TRUE,FRA,9.10
141.147.56.176,443,TRUE,AMS,9.10
89.168.114.244,443,TRUE,FRA,9.10
141.144.224.182,443,TRUE,FRA,9.06
143.47.231.216,443,TRUE,FRA,9.06
151.145.69.105,2082,FALSE,HKG,9.05
140.238.69.242,443,TRUE,LHR,9.02
150.230.22.84,443,TRUE,FRA,9.01
141.147.112.48,443,TRUE,FRA,8.99
138.3.208.9,8443,TRUE,NRT,8.99
141.147.189.23,2083,TRUE,NRT,8.95
141.147.8.211,443,TRUE,FRA,8.94
144.21.61.211,443,TRUE,FRA,8.90
143.47.180.99,443,TRUE,FRA,8.86
132.145.66.113,443,TRUE,FRA,8.83
140.238.35.195,2096,TRUE,NRT,8.79
144.24.175.251,443,TRUE,FRA,8.78
140.238.35.78,2087,TRUE,NRT,8.75
141.144.205.79,443,TRUE,FRA,8.75
168.138.205.38,8080,FALSE,NRT,8.74
152.67.143.26,443,TRUE,FRA,8.69
152.67.137.166,443,TRUE,FRA,8.69
143.47.189.204,443,TRUE,FRA,8.68
143.47.241.15,443,TRUE,AMS,8.57
140.238.54.184,8443,TRUE,NRT,8.50
132.226.209.180,443,TRUE,AMS,8.49
158.101.92.156,2083,TRUE,NRT,8.46
130.61.23.77,443,TRUE,FRA,8.41
141.147.115.186,443,TRUE,FRA,8.39
132.145.14.158,443,TRUE,FRA,8.38
152.70.62.96,443,TRUE,FRA,8.36
143.47.255.251,443,TRUE,FRA,8.31
141.147.182.70,2052,FALSE,NRT,8.28
158.101.210.212,443,TRUE,FRA,8.12
152.67.150.147,443,TRUE,FRA,8.09
152.70.102.124,8443,TRUE,HKG,8.08
143.47.177.103,443,TRUE,FRA,7.92
141.144.254.178,443,TRUE,FRA,7.91
140.238.36.248,2087,TRUE,NRT,7.89
129.146.247.85,2053,TRUE,LAX,7.88
143.47.252.208,443,TRUE,FRA,7.84
141.147.181.242,2053,TRUE,NRT,7.82
140.238.32.184,2096,TRUE,NRT,7.80
